Refinery_ID,Refinery_Name,Emirate,Operator,Capacity_BPD,Commissioned_Year,No_of_Employees,Crude_Source,Annual_Throughput_Million_Tons,Environmental_Rating,Petrol_Output_BPD,Diesel_Output_BPD,Gas_Output_BPD,Employee_Category,Average_Salary_AED
R399,Ajman Refinery,Ajman,Gulf Energy,234532,1984,1457,Onshore,2.58,8.61,72475,111903,50153,Quality Control,18472
R400,Ajman Refinery,Fujairah,RAK Oil,129005,2023,1784,Onshore,19.73,6.02,39097,66065,23842,Quality Control,22963
R401,Ajman Refinery,Ras Al Khaimah,ADNOC Refining,506592,2015,716,Offshore,8.9,6.09,181042,229301,96248,Maintenance,17465
R402,Fujairah Refinery,Umm Al Quwain,UAE National Oil Co.,862668,2016,1037,Mixed,2.89,5.22,298053,395098,169516,Quality Control,18683
R403,Ruwais Refinery,Dubai,Gulf Energy,344315,2004,1084,Offshore,7.32,9.85,132249,156604,55460,Maintenance,11966
R404,Fujairah Refinery,Ras Al Khaimah,Gulf Energy,881021,1982,1701,Offshore,15.98,8.85,307408,407282,166330,Administration,12785
R405,Al Ain Petro,Abu Dhabi,Sharjah Refining Ltd.,810489,2015,2009,Mixed,20.06,6.67,324962,359368,126158,Engineering,15248
R406,Fujairah Refinery,Sharjah,Emirates Petrochem,698130,1980,790,Mixed,8.56,9.35,298302,307024,92803,Operations,22148
R407,Sharjah Petrochem,Sharjah,RAK Oil,499579,2017,681,Mixed,6.82,9.35,143785,254026,101767,Operations,12739
R408,Ruwais Refinery,Fujairah,Emirates Petrochem,750580,2012,1344,Mixed,14.92,9.87,244987,360142,145450,Quality Control,17119
R409,Al Ain Petro,Fujairah,ADNOC Refining,856286,2006,1256,Onshore,33.44,5.2,341537,315473,199275,Maintenance,20788
R410,Emirates Fuel Processing,Ras Al Khaimah,Gulf Energy,308483,1975,2274,Onshore,11.49,7.32,99131,120896,88454,Engineering,21526
R411,Ajman Refinery,Umm Al Quwain,ADNOC Refining,307983,1988,2368,Imported,13.93,9.12,88473,139528,79981,Maintenance,14554
R412,Sharjah Petrochem,Ras Al Khaimah,Gulf Energy,61315,2013,1078,Imported,19.62,8.68,22800,25958,12556,Maintenance,14257
R413,ADNOC Refining Plant,Ras Al Khaimah,Gulf Energy,621824,2000,684,Onshore,25.38,7.44,248355,282473,90994,Quality Control,13860
R414,Dubai Energy Refinery,Sharjah,UAQ Petroleum,225145,2023,1130,Onshore,25.48,5.12,88317,83000,53826,Maintenance,18563
R415,Dubai Energy Refinery,Ajman,ENOC,569013,2022,451,Mixed,12,5.31,188709,294174,86129,Operations,23636
R416,Emirates Fuel Processing,Dubai,Sharjah Refining Ltd.,148824,2003,1169,Imported,18.23,9.95,50425,69198,29200,Operations,22937
R417,Jebel Ali Refinery,Umm Al Quwain,Gulf Energy,728124,2009,946,Imported,11.19,9.8,318917,300830,108376,Engineering,14270
R418,Jebel Ali Refinery,Abu Dhabi,Emirates Petrochem,415365,2014,2144,Imported,8.22,6.87,169557,174157,71650,Engineering,10342
R419,Ajman Refinery,Sharjah,ENOC,429248,2007,779,Offshore,21.63,7,196638,186233,46375,Quality Control,10014
R420,Fujairah Refinery,Abu Dhabi,Fujairah Energy,100675,1988,1756,Imported,10.4,7.51,34835,42131,23707,Quality Control,23647
R421,Ajman Refinery,Umm Al Quwain,Gulf Energy,152927,2020,479,Mixed,6.44,6.14,64052,70187,18687,Administration,24555
R422,Ajman Refinery,Sharjah,RAK Oil,532702,2001,480,Mixed,31.14,8.91,198472,219536,114693,Operations,12522
R423,Ruwais Refinery,Ras Al Khaimah,Ajman Petro,699584,1995,454,Onshore,7.3,9.75,234541,332183,132859,Administration,12398
R424,Sharjah Petrochem,Abu Dhabi,UAE National Oil Co.,864322,1981,1806,Offshore,26.03,5.82,263791,476907,123623,Quality Control,8125
R425,Ruwais Refinery,Ras Al Khaimah,UAQ Petroleum,868835,1982,912,Imported,22.18,8.64,375394,392499,100941,Maintenance,8357
R426,Dubai Energy Refinery,Ajman,ENOC,566494,1983,2338,Onshore,24.47,9.5,191330,245920,129243,Operations,8287
R427,Dubai Energy Refinery,Dubai,ENOC,679903,1999,1982,Mixed,27.12,8.51,187017,335160,157724,Administration,20678
R428,Sharjah Petrochem,Umm Al Quwain,ADNOC Refining,311056,2019,1689,Offshore,27.17,5.6,92765,180789,37500,Operations,18149
R429,Ruwais Refinery,Dubai,Ajman Petro,437141,2007,1772,Imported,14.62,5.26,159178,172200,105762,Quality Control,23546
R430,Ruwais Refinery,Dubai,Emirates Petrochem,109927,1989,513,Onshore,10.58,6.68,39308,46943,23674,Maintenance,15254
R431,Ruwais Refinery,Abu Dhabi,RAK Oil,560920,2006,1181,Imported,34.97,6.97,233669,188380,138869,Maintenance,22049
R432,Ajman Refinery,Sharjah,Ajman Petro,348788,2021,1074,Offshore,18.29,7.13,126959,144456,77371,Operations,21324
R433,Jebel Ali Refinery,Umm Al Quwain,RAK Oil,136093,2014,1753,Mixed,31.2,7.53,52736,66420,16936,Engineering,16056
R434,Ruwais Refinery,Abu Dhabi,Gulf Energy,267781,2015,1738,Onshore,30.39,7.25,87124,115328,65327,Operations,20294
R435,Al Ain Petro,Fujairah,Sharjah Refining Ltd.,814092,1983,2125,Offshore,32.96,7.58,280699,362434,170957,Engineering,20484
R436,ADNOC Refining Plant,Abu Dhabi,ENOC,560982,2000,1014,Offshore,22.03,7.93,229515,209226,122240,Engineering,24957
R437,Dubai Energy Refinery,Ajman,ENOC,448828,2005,784,Offshore,27.23,6.66,181975,202239,64613,Operations,23808
R438,Dubai Energy Refinery,Fujairah,ENOC,362672,1977,1885,Onshore,27.67,5.29,124735,165984,71951,Engineering,23812
R439,ADNOC Refining Plant,Abu Dhabi,Gulf Energy,352200,2002,791,Mixed,11.32,5.45,162713,112726,76760,Quality Control,24855
R440,ADNOC Refining Plant,Ras Al Khaimah,Fujairah Energy,260568,1992,415,Onshore,22.77,6.39,94144,102015,64407,Administration,23933
R441,Ajman Refinery,Umm Al Quwain,ADNOC Refining,834737,2020,1039,Onshore,14.29,9.77,224077,406373,204286,Engineering,10800
R442,ADNOC Refining Plant,Ras Al Khaimah,Sharjah Refining Ltd.,625078,1996,1690,Imported,4.29,6.66,195457,299059,130561,Administration,23103
R443,Umm Al Quwain Refining Co.,Dubai,Sharjah Refining Ltd.,678282,1995,550,Offshore,2.71,8.16,283325,227629,167326,Operations,11134
R444,Dubai Energy Refinery,Sharjah,UAE National Oil Co.,584024,1976,2275,Mixed,6.76,7.36,225288,203477,155257,Operations,9634
R445,Sharjah Petrochem,Umm Al Quwain,Ajman Petro,759780,1987,2170,Mixed,33.26,9.74,240960,302836,215983,Maintenance,24898
R446,Umm Al Quwain Refining Co.,Dubai,UAQ Petroleum,458249,2007,983,Imported,4.36,8.29,187084,203168,67996,Operations,8286
R447,Umm Al Quwain Refining Co.,Ajman,Sharjah Refining Ltd.,237672,2014,2012,Imported,29.6,6.67,92054,113782,31834,Administration,8617
R448,Dubai Energy Refinery,Fujairah,Emirates Petrochem,264973,1998,1217,Mixed,30.01,7.15,98390,112881,53701,Maintenance,21241
R449,Ajman Refinery,Fujairah,UAE National Oil Co.,297349,2015,864,Imported,17.46,9.7,89699,143325,64323,Engineering,21586
R450,Dubai Energy Refinery,Abu Dhabi,UAQ Petroleum,408061,1994,869,Mixed,2.74,5.76,150133,160517,97410,Operations,18600
R451,Al Ain Petro,Ras Al Khaimah,ADNOC Refining,243881,1986,691,Imported,1.72,5.81,91843,109366,42671,Operations,15299
R452,Sharjah Petrochem,Ajman,Ajman Petro,363070,2021,456,Mixed,17.52,8.41,142464,142120,78484,Administration,14120
R453,Al Ain Petro,Umm Al Quwain,Ajman Petro,769414,2022,1764,Onshore,22.22,7.77,271583,405226,92604,Administration,16207
R454,Jebel Ali Refinery,Fujairah,RAK Oil,183121,1982,2017,Mixed,2.62,6.84,58311,93047,31761,Maintenance,15393
R455,Sharjah Petrochem,Sharjah,UAE National Oil Co.,603535,1996,618,Mixed,26.19,7.37,221856,249542,132136,Operations,14635
R456,Ruwais Refinery,Abu Dhabi,ADNOC Refining,357645,2010,973,Offshore,12.6,8.72,132945,150622,74077,Engineering,19322
R457,Al Ain Petro,Ajman,RAK Oil,783195,2000,2136,Imported,15.68,8.23,313899,364841,104454,Engineering,9900
R458,Al Ain Petro,Dubai,Sharjah Refining Ltd.,190787,2013,2399,Offshore,21.53,9.7,87331,77361,26093,Operations,24197
R459,Al Ain Petro,Fujairah,RAK Oil,50257,2001,1339,Onshore,33.66,5.73,21615,20374,8267,Administration,17437
R460,Ruwais Refinery,Umm Al Quwain,Ajman Petro,116291,2003,1449,Onshore,26.79,7.9,44511,57458,14320,Engineering,13418
R461,Ajman Refinery,Sharjah,Sharjah Refining Ltd.,472809,2009,2010,Imported,8.28,5.32,174207,212936,85664,Quality Control,14833
R462,Sharjah Petrochem,Sharjah,Ajman Petro,744288,1987,1507,Mixed,10.34,8.02,271392,308401,164494,Engineering,18737
R463,Al Ain Petro,Dubai,Ajman Petro,256078,2011,1686,Mixed,13.47,8.18,80458,97254,78364,Maintenance,17410
R464,Emirates Fuel Processing,Abu Dhabi,Fujairah Energy,289861,2019,1519,Offshore,5.36,8.44,109223,121557,59079,Quality Control,9081
R465,Ajman Refinery,Umm Al Quwain,ADNOC Refining,106826,1979,694,Onshore,9.14,6.31,39607,47405,19812,Engineering,12152
R466,Umm Al Quwain Refining Co.,Fujairah,ENOC,749671,1983,447,Onshore,7,7.96,271488,316572,161609,Administration,21860
R467,Dubai Energy Refinery,Ajman,ENOC,440250,1980,1568,Imported,7.06,7.17,206009,146357,87882,Administration,13472
R468,Jebel Ali Refinery,Sharjah,UAE National Oil Co.,732218,1980,1376,Mixed,5.51,5.18,259105,385519,87593,Maintenance,8134
R469,Emirates Fuel Processing,Umm Al Quwain,ENOC,567995,2017,586,Offshore,13.77,6.59,253319,220076,94599,Engineering,8599
R470,Emirates Fuel Processing,Umm Al Quwain,UAQ Petroleum,444786,1981,1136,Imported,17.12,8.38,164406,227500,52878,Quality Control,18495
R471,Emirates Fuel Processing,Umm Al Quwain,Ajman Petro,777455,2005,1829,Mixed,22.35,7.4,369031,324242,84181,Engineering,22595
R472,Umm Al Quwain Refining Co.,Ajman,Emirates Petrochem,854914,2021,1304,Mixed,30.51,6.25,324721,332979,197213,Quality Control,19817
R473,ADNOC Refining Plant,Ajman,Ajman Petro,624918,1997,1422,Imported,20.97,8.47,205132,335873,83911,Maintenance,12666
R474,Ruwais Refinery,Abu Dhabi,Emirates Petrochem,590752,2018,1300,Offshore,18.09,7.6,224909,289366,76476,Administration,13713
R475,Ruwais Refinery,Umm Al Quwain,Gulf Energy,874277,1992,1975,Offshore,34.75,7.49,322154,360461,191661,Maintenance,10521
R476,Sharjah Petrochem,Fujairah,UAQ Petroleum,790610,1989,1353,Mixed,4.83,8.5,259542,370887,160179,Operations,23892
R477,Fujairah Refinery,Abu Dhabi,ENOC,554301,1998,2384,Imported,23.76,7.35,240750,252124,61426,Administration,20566
R478,Fujairah Refinery,Sharjah,UAQ Petroleum,624086,1992,327,Onshore,11.9,7.06,257676,286855,79554,Quality Control,19156
R479,Umm Al Quwain Refining Co.,Dubai,Ajman Petro,384052,2016,2280,Offshore,10.57,5.12,150936,189983,43131,Operations,24799
R480,Ruwais Refinery,Ras Al Khaimah,UAE National Oil Co.,165008,2008,446,Mixed,2.14,6.97,58677,70039,36290,Operations,22771
R481,Sharjah Petrochem,Sharjah,Gulf Energy,776877,2017,1772,Onshore,24.92,7.65,244009,426558,106309,Maintenance,17988
R482,Al Ain Petro,Umm Al Quwain,Emirates Petrochem,623445,1976,1713,Offshore,13.13,6.21,203818,299036,120590,Administration,15726
R483,Fujairah Refinery,Dubai,Ajman Petro,557268,2015,2258,Mixed,3.65,9.63,182540,294705,80021,Administration,9940
R484,Ajman Refinery,Abu Dhabi,ENOC,528524,1976,1934,Offshore,21.99,8.85,177225,239931,111367,Operations,15927
R485,Jebel Ali Refinery,Dubai,UAQ Petroleum,821929,1990,1111,Mixed,8.25,6.16,303325,400752,117850,Operations,9777
R486,Al Ain Petro,Ras Al Khaimah,Fujairah Energy,454212,2016,2181,Offshore,20.25,5.45,148832,192008,113371,Administration,21505
R487,Jebel Ali Refinery,Ras Al Khaimah,RAK Oil,748445,2019,1870,Imported,20.11,5.84,248617,406435,93391,Operations,11915
R488,Dubai Energy Refinery,Ajman,Sharjah Refining Ltd.,73661,1981,856,Offshore,3.77,6.36,30896,25454,17310,Engineering,10264
R489,Fujairah Refinery,Dubai,Gulf Energy,50409,2017,1678,Imported,10.72,6.03,17209,25794,7405,Engineering,18399
R490,Dubai Energy Refinery,Ajman,Emirates Petrochem,544975,2008,1469,Mixed,17.96,7.25,204318,229241,111415,Quality Control,20032
R491,Jebel Ali Refinery,Ajman,Ajman Petro,370644,1986,751,Onshore,21.34,9.7,128011,163122,79509,Engineering,13559
R492,Fujairah Refinery,Dubai,ADNOC Refining,738542,1990,322,Onshore,24.85,9.46,262975,313315,162251,Administration,13572
R493,Ruwais Refinery,Umm Al Quwain,UAE National Oil Co.,889570,2010,1885,Onshore,27.06,8.29,288529,484185,116855,Engineering,19377
R494,Umm Al Quwain Refining Co.,Ajman,Ajman Petro,555686,1996,2428,Offshore,1.99,5.93,186492,247093,122100,Maintenance,8853
R495,Jebel Ali Refinery,Dubai,Fujairah Energy,259620,2002,2162,Mixed,16.84,5.93,94745,108501,56372,Engineering,18288
R496,Dubai Energy Refinery,Fujairah,Gulf Energy,540724,2012,2094,Offshore,8.44,6.04,236206,221071,83445,Operations,16223
R497,ADNOC Refining Plant,Sharjah,Emirates Petrochem,204941,2014,1335,Onshore,11.75,6.16,65164,105450,34326,Maintenance,17415
R498,Dubai Energy Refinery,Sharjah,ENOC,344595,1997,586,Imported,22.57,6.45,153987,138265,52341,Maintenance,22598
R499,Sharjah Petrochem,Ras Al Khaimah,Gulf Energy,302138,1977,770,Mixed,8.33,8.46,119299,132807,50031,Maintenance,15650
R500,Dubai Energy Refinery,Abu Dhabi,UAE National Oil Co.,818038,2000,442,Offshore,15.38,5.17,292922,368197,156918,Operations,22255
